NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Mason Jones,LAL,2,4.4,2.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,-2.0,0,0,1.0,4.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5
Mason Plumlee,CHA,71,24.7,6.5,3.1,2.5,5.4,7.8,0.8,0.7,1.4,3.1,0.0,7,0,2.8,4.4,0.637,0.0,0.0,0.0,0.9,2.4,0.389
Matisse Thybulle,PHI,64,25.4,5.8,1.1,0.6,1.7,2.3,1.8,1.1,0.6,2.4,1.4,0,0,2.3,4.6,0.497,0.7,2.2,0.312,0.5,0.7,0.791
Matt Mooney,NYK,1,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-5.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Matt Thomas,CHI,40,11.5,4.0,0.5,0.1,1.2,1.3,0.2,0.1,0.2,0.5,0.8,0,0,1.4,3.4,0.41,0.9,2.3,0.385,0.4,0.5,0.8
Maurice Harkless,SAC,47,18.4,4.6,0.5,0.3,2.1,2.4,0.6,0.5,0.7,1.6,-1.9,1,0,1.8,3.9,0.459,0.7,2.1,0.307,0.4,0.6,0.714
Max Strus,MIA,67,23.3,10.6,1.4,0.4,2.6,3.0,0.4,0.2,0.8,1.7,2.4,0,0,3.7,8.4,0.439,2.7,6.6,0.408,0.6,0.8,0.792
Maxi Kleber,DAL,59,24.6,7.0,1.2,1.2,4.7,5.9,0.5,1.0,0.8,2.3,2.0,2,0,2.4,6.0,0.398,1.4,4.3,0.325,0.8,1.1,0.708
McKinley Wright IV,MIN,4,2.9,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-2.5,0,0,0.5,0.8,0.667,0.3,0.5,0.5,0.0,0.0,0.0
Melvin Frazier Jr.,OKC,1,32.6,8.0,0.0,3.0,2.0,5.0,1.0,0.0,1.0,0.0,-35.0,0,0,4.0,15.0,0.267,0.0,6.0,0.0,0.0,1.0,0.0
Micah Potter,DET,3,10.3,4.0,0.0,1.3,1.7,3.0,0.3,0.3,0.3,1.3,-13.3,0,0,1.7,3.7,0.455,0.0,0.7,0.0,0.7,0.7,1.0
Michael Porter Jr.,DEN,9,29.4,9.9,1.9,1.0,5.6,6.6,1.1,0.2,1.3,1.8,6.4,1,0,4.1,11.4,0.359,1.1,5.3,0.208,0.6,1.0,0.556
Mikal Bridges,PHX,80,35.2,14.3,2.3,0.9,3.4,4.3,1.2,0.5,0.8,1.9,7.0,0,0,5.6,10.6,0.533,1.4,3.9,0.371,1.6,1.9,0.83
Mike Conley,UTA,70,28.6,13.7,5.3,0.7,2.4,3.0,1.3,0.3,1.7,1.9,4.8,2,0,4.8,10.9,0.437,2.4,5.7,0.41,1.8,2.2,0.808
